VehicleNumber,Line,Brigade,Stop,DiffTime,DiffDist,BusLat,BusLon
8867,138,4,3243_06,5,0.003943522337381423,52.179082,21.0025645
8867,138,4,3242_02,38,0.0017958432874970042,52.1840585,21.0024506
8867,138,4,3241_02,60,0.007043156810311392,52.186196,21.0023803
8867,138,4,3240_02,120,0.009306332713839252,52.1896176,21.002236
8867,138,4,3390_02,115,0.007455404840232395,52.1931078,21.0020416
8867,138,4,3239_02,65,0.0051627775131848795,52.1963321,21.002177
8867,138,4,3238_02,45,0.003911722290356586,52.1995993,21.0012298
8867,138,4,3237_05,35,0.0026914478731374174,52.2019586,21.0024925
8867,138,4,3125_01,47,0.007290165659645041,52.2025438,21.0058056
8867,138,4,3229_03,53,0.008036289953358908,52.203198,21.0096485
8867,138,4,3106_01,11,0.008773712082137362,52.2043311,21.0159203
8867,138,4,3003_02,30,0.0018820809930349253,52.2061098,21.0228673
9064,161,2,2052_01,30,0.0016804311477892594,52.159462,21.203295
9064,161,2,2156_01,17,0.005907861143634714,52.156929,21.20277
9064,161,2,2158_01,4,0.002739561330659444,52.154293,21.209236
9064,161,2,2174_01,3447,0.004871570000952484,52.184216,21.176104
9064,161,2,2043_04,14,0.0033268166804309818,52.183937,21.187733
9064,161,2,2043_06,11,0.0070423931318199665,52.1838,21.19042
9064,161,2,2177_02,8,0.008605557803892248,52.183445,21.194977
9064,161,2,2180_01,2557,0.007367672811233995,52.182602,21.212584
9064,161,2,2182_03,36,0.0026851652745436697,52.181633,21.227873
9064,161,2,2183_02,5,0.005004236110163027,52.185123,21.219358
9064,161,2,2184_01,345,0.00299825228955818,52.186649,21.224804
9074,104,2,1085_13,3586,0.009846568477486991,52.293503,21.031115
9074,104,2,1085_10,3553,0.009406607321316608,52.293873,21.032639
9074,104,2,1150_02,3543,0.00692754479676945,52.296185,21.032995
9074,104,2,1165_02,3550,0.002445079031127162,52.298828,21.032995
9074,104,2,1166_02,3570,0.004821279647165854,52.300304,21.032024
9074,104,2,1167_02,3431,0.004068457297501912,52.304234,21.029896
9074,104,2,1168_04,3416,0.0007204673125900623,52.306957,21.030443
9074,104,2,1510_02,3397,0.0012684158926927636,52.307667,21.036018
9074,104,2,1511_02,3417,0.0027539077122883,52.310463,21.039648
9074,104,2,1512_02,3411,0.0004650934407631441,52.314816,21.03797
